>MA0226.1 hbn
>MA0227.1 hth
>MA0228.1 ind
>MA0229.1 inv
>MA0230.1 lab
>MA0231.1 lbe
>MA0232.1 lbl
>MA0233.1 mirr
>MA0234.1 oc
>MA0235.1 onecut
>MA0236.1 otp
>MA0237.1 pan
>MA0238.1 pb
>MA0239.1 prd
>MA0240.1 repo
>MA0241.1 ro
>MA0242.1 run::Bgb
>MA0243.1 sd
>MA0244.1 slbo
>MA0245.1 slou
>MA0246.1 so
>MA0247.1 tin
>MA0248.1 tup
>MA0249.1 twi
>MA0250.1 unc-4
>MA0251.1 unpg
>MA0252.1 vis
>MA0253.1 vnd
>MA0254.1 vvl
>MA0255.1 z
>MA0256.1 zen
>MA0257.1 zen2
>MA0094.2 Ubx
>MA0258.1 ESR2
>MA0259.1 HIF1A::ARNT
>MA0260.1 che-1
>MA0261.1 lin-14
>MA0262.1 mab-3
>MA0263.1 ttx-3::ceh-10
>MA0264.1 ceh-22
>MA0265.1 ABF1
>MA0266.1 ABF2
>MA0267.1 ACE2
>MA0268.1 ADR1
>MA0269.1 AFT1
>MA0270.1 AFT2
>MA0271.1 ARG80
>MA0272.1 ARG81
>MA0273.1 ARO80
>MA0274.1 ARR1
>MA0275.1 ASG1
>MA0276.1 ASH1
>MA0277.1 AZF1
>MA0278.1 BAS1
>MA0279.1 CAD1
>MA0280.1 CAT8
>MA0281.1 CBF1
>MA0282.1 CEP3
>MA0283.1 CHA4
>MA0284.1 CIN5
>MA0285.1 CRZ1
>MA0286.1 CST6
>MA0287.1 CUP2
>MA0288.1 CUP9
>MA0289.1 DAL80
>MA0290.1 DAL81
>MA0291.1 DAL82
>MA0292.1 ECM22
>MA0293.1 ECM23
>MA0294.1 EDS1
>MA0295.1 FHL1
>MA0296.1 FKH1
>MA0297.1 FKH2
>MA0298.1 FZF1
>MA0299.1 GAL4
>MA0300.1 GAT1
>MA0301.1 GAT3
>MA0302.1 GAT4
>MA0303.1 GCN4
>MA0304.1 GCR1
>MA0305.1 GCR2
>MA0306.1 GIS1
>MA0307.1 GLN3
>MA0308.1 GSM1
>MA0309.1 GZF3
>MA0310.1 HAC1
>MA0311.1 HAL9
>MA0312.1 HAP1
>MA0313.1 HAP2
>MA0314.1 HAP3
>MA0315.1 HAP4
>MA0316.1 HAP5
>MA0317.1 HCM1
>MA0318.1 HMRA2
>MA0319.1 HSF1
>MA0320.1 IME1
>MA0321.1 INO2
>MA0322.1 INO4
>MA0323.1 IXR1
>MA0324.1 LEU3
>MA0325.1 LYS14
>MA0326.1 MAC1
>MA0327.1 MATA1
>MA0328.1 MATALPHA2
>MA0329.1 MBP1
>MA0330.1 MBP1::SWI6
>MA0331.1 MCM1
>MA0332.1 MET28
>MA0333.1 MET31
>MA0334.1 MET32
>MA0335.1 MET4
>MA0336.1 MGA1
>MA0337.1 MIG1
>MA0338.1 MIG2
>MA0339.1 MIG3
>MA0340.1 MOT3
>MA0341.1 MSN2
>MA0342.1 MSN4
>MA0343.1 NDT80
>MA0344.1 NHP10
>MA0345.1 NHP6A
>MA0346.1 NHP6B
>MA0347.1 NRG1
>MA0348.1 OAF1
>MA0349.1 OPI1
>MA0350.1 TOD6
>MA0351.1 DOT6
>MA0352.1 PDR1
>MA0353.1 PDR3
>MA0354.1 PDR8
>MA0355.1 PHD1
>MA0356.1 PHO2
>MA0357.1 PHO4
>MA0358.1 PUT3
>MA0359.1 RAP1
>MA0360.1 RDR1
>MA0361.1 RDS1
>MA0362.1 RDS2
>MA0363.1 REB1
>MA0364.1 REI1
>MA0365.1 RFX1
>MA0366.1 RGM1
>MA0367.1 RGT1
>MA0368.1 RIM101
>MA0369.1 RLM1
>MA0370.1 RME1
>MA0371.1 ROX1
>MA0372.1 RPH1
>MA0373.1 RPN4
>MA0374.1 RSC3
>MA0375.1 RSC30
>MA0376.1 RTG3
>MA0377.1 SFL1
>MA0378.1 SFP1
>MA0379.1 SIG1
>MA0380.1 SIP4
>MA0381.1 SKN7
>MA0382.1 SKO1
>MA0383.1 SMP1
>MA0384.1 SNT2
>MA0385.1 SOK2
>MA0386.1 TBP
>MA0387.1 SPT2
>MA0388.1 SPT23
>MA0389.1 SRD1
>MA0390.1 STB3
>MA0391.1 STB4
>MA0392.1 STB5
>MA0393.1 STE12
>MA0394.1 STP1
>MA0395.1 STP2
>MA0396.1 STP3
>MA0397.1 STP4
>MA0398.1 SUM1
